ID;Name;Gender;math;history;biology;chemistry;physics;informatics;alchemy;astrology
11b-5;"Kandisz Mónika";W;4,5;5,5,2;3,1,4,4;3,1,5,5;4;5,4,3;1,3,1,5;3,4,5,2,5
11b-6;"Major Nóra";W;2;2;5;5,5,3,3;3,3;2,1,4;5,3;4,5
11b-7;"Budipa Ottó";M;3;1,2,4;3,5,1;1;3,5;1,3;5,1,5,2,5;4,1,3,5,2
11b-8;"Git Lenke";W;5,4,3,5,1;2,5,5,5;2,3;3,1;3;5,2,2;4;4,1,1,3
11b-9;"Bármi Piroska";W;5,1,4,2,2;5,4;1;1,4,4,3;5,2;1,1,1,1;2,1,1;5,1
11b-10;"Virra Mónika";W;1,4,4,3,5;1,2,4,2;3,2,1,2;1,3,4;1,4,4,4,2;1,1,1,5;1,3,4;4,5
11c-0;"Dil Viola";W;5,2,1,1;4,3,3;5;5;4,5,5;5,4;4,3,4,1,5;4
11c-1;"Har Mercédesz";W;2,5,2,5;5;2,2,2;2,4,5,2;4,5,3,4,1;2;3,5;2,3
11c-2;"Szenyo Zita";W;2,5,2,4;1;2;2;3;1,2,2,4,3;4,5;5,3,2,1,2
11c-3;"Patta Áron";M;1;4,4;1,4;4;4,1,4,5;5,2;3,4,3;1,2,2,4,4
11c-4;"Minden Szilárd";M;1;2;4,5,4,2,4;2,4,4,5;2;3,3;5,1;3,5,3
11c-5;"Szenyo Áron";W;3,4,2;1,4;5,3,3,5,2;5,2,4;5,2,3;1;1,5,1;1,5,3
11c-6;"Virra Ödön";M;4;5,1,2,5;1,1,3,2;2,2,3,2,2;5,4;3,3,3;5,1,5;5,4,5,1,4
11c-7;"Bekre Blanka";W;2,4;5,5;2;2,2,5;4,2,2;2,1;1,4,3,1,4;4,3,5,3
11c-8;"Harm Piroska";W;3,3;3;4,4;1;2;1,3,3,3,2;4,1,2,3,2;3,5,3,1,1
11c-9;"Kard Dóra";W;4;3,1,5,2,3;4,4,2,4;3,2;1;1,2;3,4,4;2,1
11c-10;"Budipa Ödön";M;4;3,2,3;4,4,1;2,3,2,3,3;3,3;5,3;3,2;3,5,5
11c-11;"Békés Rita";W;3,1,5,5,4;2,4,5;2;1,1,1;2,1,2;2,5;1;1
12a-0;"Kalim Kálmán";M;2,4,2;5,1;2,3,2,5,2;2,5,3,5;4,1,5,2,2;1,2;2,2;5,5,2,3,2
12a-1;"Rabsz Ottó";M;3,4,4,2;1,2;4,5;1,5,1,3;4,4,4;1,2;3;4
12a-2;"Git Elek";M;1,5;2,4,4,2,5;5,4,1,5,2;2;1,3,1,4;3,3;1,1,3;4
12a-3;"Ultra Piroska";W;3,2,1;4,4;2,3,3,1,3;4,4,1,3,2;4;1,2,3;4,3,1,2,5;2,4,4,1
12a-4;"Békés Lenke";W;5;3,2;4,5;4,5;3;3,4;2,3,5,5,2;1,5
12a-5;"Békés Emma";W;3,1,5;2,2;3;3,3,1;3,4,4,4;5;4,2,3,1,3;1,4
12a-6;"Mikorka Simon";M;1,4,1;1,3;1,3,3,1,5;1;4,2;3,4,5,2,5;2,3,5,4,3;3
12a-7;"Mikorka Áron";M;5,5,2,2;4,3;1,2,3,2;4,2,5;4;3,3,3;1;2,3,3
12a-8;"Kandisz Ella";W;3,1,1,3,4;3,5,4,2;1;4,5,2,5,5;3;4,2;1,3,5;4
12a-9;"Békés Ödön";M;4,4,4;5,1;2,2,2,1;5;2,1,5,4,1;3,3,3,3,2;3;3,5,1
12a-10;"Pum Lenke";W;1;5,3,2,2;2,2,2,2;2,2,5,1,2;3;2,4,4;2,3,4,5;1
12a-11;"Fejet Szilárd";M;4,2,2,4,5;3,4,4;1;1,4,1,3,1;1,1;1,2,4,3,3;5,2,1,4;3
12b-0;"Dil Kálmán";M;4,4;2;1,4;2,5,1;3,5;5,1,1;2,4,1,2;4,4,3
12b-1;"Pop Elek";M;4,4,4,2,5;3,3,3;3;5,1,5,4;1,5,1,2;2,5;3,1,1,3;1,4,4,2,4
12b-2;"Git Lenke";W;4;3,4,2;4,2,1,2,1;1,2;3,5,4,4,2;3,1,2;2;2,1,4
12b-3;"Békés Szilárd";M;2,4,5,1,5;3;3,4;5,4,2;5,1;3;1;5,5
12b-4;"Git Piroska";W;3,5,2;3,4,1;2,3;4,1;5,4,4,4,1;4,5;2,4,4;5,1
12b-5;"Har Pál";M;3,5;5,1,4,5;2,2;2,3,3,4;3,5,3,5;5,3,5,2,4;4,5;4
12b-6;"Zsíros B. Elemér";M;3,5;5;5,3,3,1;2,1,3,4,3;4,5;5,2,1,1,1;3,3,2,1,3;1
12b-7;"Pum Lenke";W;1,2,2;4,2,1,5,2;3,3,1;3,2;5,2,5,1;5,1,4,2;1,4,1,4,4;2,5,1,5
12b-8;"Szenyo Csaba";M;1,3;1;3,2,5,1;5,3,5,3,1;1,4,3;3;3,5,2,4;2,4
12b-9;"Pop Csaba";M;5,1;4,3,3,3,3;1;1,3;4,1;3,3;2,1,2,2;1,5,3,3
12c-0;"Kasza Áron";W;3,3,3;4;1,2,5,2;1;4,5,2;5,1;3,5,3;2,4,1,4
12c-1;"Major Csaba";M;2,4;2,4,1,4,4;5,1,1,2,5;5;2,5;4,4;4,5;3,3,1
12c-2;"Kandisz Zita";W;5,3,4,4;5,3,4,4;5,1,5,4,1;4,5,4,4;5,5,2,4;1,2;2,3,3,3,4;3,1,3,3
12c-3;"Külö Csaba";M;1,5,2;3;4,1,1;4,1;4,5,4;5,3,4;5,1;3,3
12c-4;"Lapos Anna";W;4,5,4,4,4;5,3,4;2;1,1,3;5,3,1,4,4;4;5,1,1;4
12c-5;"Külö Nóra";W;5,4;5,5,3;1,5,5;2,5;5,2,1,4,3;3,2,4;1,5,4,3,5;1
12c-6;"Lapos Ottó";M;3,5,5,1;1,1;1,4,3,4,2;5,5,1;4;4,1,2;3,5;5,4,3,4
12c-7;"Bekre Ödön";M;5;1;2,4,5;4,4,4,3,1;4,4;4;4,4,5;1,2,3,3,1
12c-8;"Kasza Ottó";M;5,3;2;3,4,5,3;1,4,2,1,5;2,2,5;5,1,5,1,5;1,2,3,3;4
12c-9;"Riz Anna";W;2,5,5,1;2,4,2,3,1;4;4,1,4,4;4;1,3,2,1;3,4,2,2;2,3
12c-10;"Har Ödön";M;3,5,1,3;1;2,4,2,5;4,4,5,5;3,3,1;1,2;5,2,2;2,2,4,5,5
12c-11;"Riz Csaba";M;2,2,4,2;2,4;3,5;1,2,1,1;2,2,1,5;3,4;1,5,3;2,2,2,3,2
